SurfaceLongitude,SurfaceLatitude,BottomHoleLongitude,BottomHoleLatitude,Operator,CompletionDate,Reservoir,LateralLength_FT,ProppantIntensity_LBSPerFT,FluidIntensity_BBLPerFT,HzDistanceToNearestOffsetAtDrill,HzDistanceToNearestOffsetCurrent,VtDistanceToNearestOffsetCurrent,VtDistanceToNearestOffsetAtDrill,WellDepth,ReservoirThickness,OilInPlace,Porosity,ReservoirPressure,WaterSaturation,StructureDerivative,TotalOrganicCarbon,ClayVolume,CarbonateVolume,Maturity,TotalWellCost_USDMM,CumOil12Month,rowID,CumOil_Category
-101.5610751,31.48207114,-101.5610207,31.48197238,ENDVR,11/11/2016,SPRABERRY LOWER SHALE,9167.0,1564.0,38.0,2000.0,2000.0,500.0,500.0,6234.831,,31455.827,0.061,2997.1265,0.394,0.01,2.6303,0.226,0.151,0.916,5.2373,297549.625,1995,High
-102.0582842,31.41364665,-102.0598558,31.41815003,APA,4/20/2018,SPRABERRY LOWER,7789.0,2323.0,61.0,412.838,412.838,190.5,190.5,5475.229,,10552.966,0.052,1987.5896,0.646,,2.0772,0.223,0.123,0.964,4.9977,36337.8984,2541,Low
-102.1208895,33.23738308,-102.1208895,33.23738308,PXD,7/17/2016,WOLFCAMP B,9907.0,1684.0,54.0,861.497,423.896,278.349,3.762,6909.903,350.402,11539.641,0.055,4101.4494,0.605,0.011,2.9489,0.162,0.25,0.97,6.742,250029.8594,4876,High
-101.2115833,31.27982435,-101.2114459,31.27982378,FANG,10/1/2016,WOLFCAMP B,9727.0,1514.0,39.0,329.033,306.697,226.699,202.56,5731.555,235.605,10903.241,0.056,3528.0208,0.571,0.01,2.8951,0.203,0.172,0.835,5.1486,232293.2969,3647,Medium
-101.3276265,30.84677537,-101.3276265,30.84677537,PXD,1/24/2018,WOLFCAMP B,11260.0,3012.0,57.0,876.591,418.809,279.419,13.028,6874.528,251.375,13444.632,0.058,4238.2748,0.52,0.005,2.8746,0.157,0.268,0.973,9.9118,213222.0156,2996,Medium
-101.7410828,32.08057599,-101.7411138,32.08054418,COP,1/30/2019,SPRABERRY MIDDLE,13077.0,1993.0,46.0,316.51,316.51,10.316,195.529,5032.263,,15688.865,0.049,2000.4523,0.481,,3.4605,0.19,0.16,0.946,7.1368,249083.5313,3368,High
-101.7007843,32.34505587,-101.7012098,32.34516141,PXD,10/14/2017,WOLFCAMP B,12157.0,2489.0,45.0,1215.063,946.99,350.883,350.022,6954.587,325.813,11083.462,0.057,4244.5518,0.601,0.007,2.6337,0.174,0.252,0.974,9.3437,256544.0156,3944,High
-101.4035899,30.71731385,,,PXD,7/7/2018,WOLFCAMP A,11078.0,2528.0,50.0,435.715,435.715,270.365,270.365,6599.67,,27853.09,0.058,3754.3217,0.257,0.01,2.708,0.196,0.249,0.976,8.732,311707.0,3000,High
-101.5118702,32.42242697,-101.5175153,32.44327208,OVV,4/25/2017,WOLFCAMP B,6465.0,1816.0,41.0,211.045,211.045,251.08,251.08,6862.96,361.816,22123.671,0.055,4413.1252,0.394,0.015,3.0855,0.175,0.241,0.949,3.7574,344067.375,3585,High
-101.9498975,32.04699698,-101.941321,32.01691264,PXD,4/20/2016,WOLFCAMP B,9897.0,1436.0,38.0,741.627,370.573,381.919,5.118,6773.302,346.394,18589.892,0.063,4287.1255,0.465,0.015,3.0799,0.204,0.191,0.936,6.001,226536.125,1946,Medium
